var_name,label,var_lower,label_lower
R06_AJ1043FC_D,R06_AJ1043FC_D: Amount usually paid for a single filtered cigar for a blunt - Do,r06_aj1043fc_d,r06_aj1043fc_d: amount usually paid for a single filtered cigar for a blunt - do
R06_AJ1043FC_C,R06_AJ1043FC_C: Amount usually paid for a single filtered cigar for a blunt - Ce,r06_aj1043fc_c,r06_aj1043fc_c: amount usually paid for a single filtered cigar for a blunt - ce
R06_AJ1047FC,R06_AJ1047FC: Have a regular brand of filtered cigars you usually use for blunts,r06_aj1047fc,r06_aj1047fc: have a regular brand of filtered cigars you usually use for blunts
R06_AJ1050FC,R06_AJ1050FC: Regular/last brand of filtered cigars smoked as blunts was flavore,r06_aj1050fc,r06_aj1050fc: regular/last brand of filtered cigars smoked as blunts was flavore
R06_AJ1012FC_01,R06_AJ1012FC_01: Filtered cigar as blunts flavor usually/last smoked: Menthol,r06_aj1012fc_01,r06_aj1012fc_01: filtered cigar as blunts flavor usually/last smoked: menthol
R06_AJ1012FC_02,R06_AJ1012FC_02: Filtered cigar as blunts flavor usually/last smoked: Mint,r06_aj1012fc_02,r06_aj1012fc_02: filtered cigar as blunts flavor usually/last smoked: mint
R06_AJ1012FC_03,R06_AJ1012FC_03: Filtered cigar as blunts flavor usually/last smoked: Clove or s,r06_aj1012fc_03,r06_aj1012fc_03: filtered cigar as blunts flavor usually/last smoked: clove or s
R06_AJ1012FC_04,R06_AJ1012FC_04: Filtered cigar as blunts flavor usually/last smoked: Fruit,r06_aj1012fc_04,r06_aj1012fc_04: filtered cigar as blunts flavor usually/last smoked: fruit
R06_AJ1012FC_05,R06_AJ1012FC_05: Filtered cigar as blunts flavor usually/last smoked: Chocolate,r06_aj1012fc_05,r06_aj1012fc_05: filtered cigar as blunts flavor usually/last smoked: chocolate
R06_AJ1012FC_06,R06_AJ1012FC_06: Filtered cigar as blunts flavor usually/last smoked: An alcohol,r06_aj1012fc_06,r06_aj1012fc_06: filtered cigar as blunts flavor usually/last smoked: an alcohol
R06_AJ1012FC_07,R06_AJ1012FC_07: Filtered cigar as blunts flavor usually/last smoked: Candy or o,r06_aj1012fc_07,r06_aj1012fc_07: filtered cigar as blunts flavor usually/last smoked: candy or o
R06_AJ1012FC_08,R06_AJ1012FC_08: Filtered cigar as blunts flavor usually/last smoked: Some other,r06_aj1012fc_08,r06_aj1012fc_08: filtered cigar as blunts flavor usually/last smoked: some other
R06_AJ1945FC,R06_AJ1945FC: Know the name of brand of filtered cigars for blunts usually/last,r06_aj1945fc,r06_aj1945fc: know the name of brand of filtered cigars for blunts usually/last
R06_AJ1048FC_BRAND,R06_AJ1048FC_BRAND: Brand of filtered cigars for blunts usually/last smoked,r06_aj1048fc_brand,r06_aj1048fc_brand: brand of filtered cigars for blunts usually/last smoked
R06_AJ1070FC_PRODUCT,R06_AJ1070FC_PRODUCT: Sub-brand of filtered cigar as a blunt product usually/las,r06_aj1070fc_product,r06_aj1070fc_product: sub-brand of filtered cigar as a blunt product usually/las
R06R_A_AG1006TC,R06R_A_AG1006TC: DERIVED - Age group when you first smoked part or all of a trad,r06r_a_ag1006tc,r06r_a_ag1006tc: derived - age group when you first smoked part or all of a trad
R06_AG1005TC,R06_AG1005TC: Number of traditional cigars smoked in entire life,r06_ag1005tc,r06_ag1005tc: number of traditional cigars smoked in entire life
R06_AG1100TC,R06_AG1100TC: Ever smoked traditional cigars fairly regularly,r06_ag1100tc,r06_ag1100tc: ever smoked traditional cigars fairly regularly
R06R_A_AG1007TC,R06R_A_AG1007TC: DERIVED - Age group when you first started smoking traditional,r06r_a_ag1007tc,r06r_a_ag1007tc: derived - age group when you first started smoking traditional
R06R_A_AG1020TC,R06R_A_AG1020TC: DERIVED - Age group when you first started smoking traditional,r06r_a_ag1020tc,r06r_a_ag1020tc: derived - age group when you first started smoking traditional
R06_AG1008TC,"R06_AG1008TC: When first started smoking traditional cigars, smoked traditional",r06_ag1008tc,"r06_ag1008tc: when first started smoking traditional cigars, smoked traditional"
R06_AG1011TC_01,R06_AG1011TC_01: Flavor of traditional cigar when first started smoking: Menthol,r06_ag1011tc_01,r06_ag1011tc_01: flavor of traditional cigar when first started smoking: menthol
R06_AG1011TC_02,R06_AG1011TC_02: Flavor of traditional cigar when first started smoking: Mint,r06_ag1011tc_02,r06_ag1011tc_02: flavor of traditional cigar when first started smoking: mint
R06_AG1011TC_03,R06_AG1011TC_03: Flavor of traditional cigar when first started smoking: Clove o,r06_ag1011tc_03,r06_ag1011tc_03: flavor of traditional cigar when first started smoking: clove o
R06_AG1011TC_04,R06_AG1011TC_04: Flavor of traditional cigar when first started smoking: Fruit,r06_ag1011tc_04,r06_ag1011tc_04: flavor of traditional cigar when first started smoking: fruit
R06_AG1011TC_05,R06_AG1011TC_05: Flavor of traditional cigar when first started smoking: Chocola,r06_ag1011tc_05,r06_ag1011tc_05: flavor of traditional cigar when first started smoking: chocola
