wave,var_name,label,var_lower,label_lower
W6,R06_AC1023_NN,"R06_AC1023_NN: In past 30 days, average number of cigarettes smoked per day on d",r06_ac1023_nn,"r06_ac1023_nn: in past 30 days, average number of cigarettes smoked per day on d"
W6,R06_AC1023_UN,"R06_AC1023_UN: In past 30 days, average number of cigarettes smoked per day on d",r06_ac1023_un,"r06_ac1023_un: in past 30 days, average number of cigarettes smoked per day on d"
W6,R06_AC9004,R06_AC9004: Smoked same number of cigarettes per day since started smoking fairl,r06_ac9004,r06_ac9004: smoked same number of cigarettes per day since started smoking fairl
W6,R06_AC9009,R06_AC9009: Smoked same number of cigarettes per day since started smoking fairl,r06_ac9009,r06_ac9009: smoked same number of cigarettes per day since started smoking fairl
W6,R06_AC9005_NN,R06_AC9005_NN: Average number of cigarettes smoked per day when smoked fairly re,r06_ac9005_nn,r06_ac9005_nn: average number of cigarettes smoked per day when smoked fairly re
W6,R06_AC9005_UN,R06_AC9005_UN: Average number of cigarettes smoked per day when smoked fairly re,r06_ac9005_un,r06_ac9005_un: average number of cigarettes smoked per day when smoked fairly re
W6,R06_AC9022,R06_AC9022: Consider yourself a smoker,r06_ac9022,r06_ac9022: consider yourself a smoker
W6,R06_AC9045,R06_AC9045: Level of Agreement: Enjoy sensation in throat and chest when smoking,r06_ac9045,r06_ac9045: level of agreement: enjoy sensation in throat and chest when smoking
W6,R06_AC1024_NN,R06_AC1024_NN: Time to first cigarette after waking on days smoked - Number (cur,r06_ac1024_nn,r06_ac1024_nn: time to first cigarette after waking on days smoked - number (cur
W6,R06_AC1024_UN,R06_AC1024_UN: Time to first cigarette after waking on days smoked - Unit (curre,r06_ac1024_un,r06_ac1024_un: time to first cigarette after waking on days smoked - unit (curre
W6,R06_AC1092,R06_AC1092: Smoke first cigarette of the day within 30 minutes after waking (cur,r06_ac1092,r06_ac1092: smoke first cigarette of the day within 30 minutes after waking (cur
W6,R06_AC9052,R06_AC9052: Cigarette you would hate most to give up,r06_ac9052,r06_ac9052: cigarette you would hate most to give up
W6,R06_AC9053,R06_AC9053: Smoke cigarettes more frequently during the first hours after waking,r06_ac9053,r06_ac9053: smoke cigarettes more frequently during the first hours after waking
W6,R06_AC9054,R06_AC9054: Smoke cigarettes even if ill in bed all day,r06_ac9054,r06_ac9054: smoke cigarettes even if ill in bed all day
W6,R06_AC9048,"R06_AC9048: When smoking cigarettes, usually smoke manufactured cigarettes or ro",r06_ac9048,"r06_ac9048: when smoking cigarettes, usually smoke manufactured cigarettes or ro"
W6,R06_AC0100MC,R06_AC0100MC: When last smoked a cigarette,r06_ac0100mc,r06_ac0100mc: when last smoked a cigarette
